metodo,x1,x2,x3,x4,residuo_norm,iteraciones
Gauss Jordan,0.61880344,0.05313387,0.03062677,0.29743591,2.686345e-08,0
Gauss Seidel,163864467290065563892270043649405878272.00000000,23479340752487649911381437987562717184.00000000,4408135803137246290141044706593734656.00000000,-inf,inf,-1
LU,0.61880344,0.05313388,0.03062676,0.29743591,3.003425e-08,0
